source,seed,class,precision,recall,f1,support,accuracy,macro_f1
R,42,Negative,0.8508611955420466,0.9337336001778964,0.890373197625106,8994,0.8846666666666667,0.6391188663138975
R,42,Neutral,0.5819672131147541,0.05666400638467677,0.10327272727272727,1253,0.8846666666666667,0.6391188663138975
R,42,Positive,0.9142948512951711,0.9333224516444952,0.9237106740438593,12253,0.8846666666666667,0.6391188663138975
R,123,Negative,0.850575873913922,0.9360684901045141,0.8912767308913826,8994,0.8860444444444444,0.6434162756838857
R,123,Neutral,0.5602836879432624,0.06304868316041501,0.1133428981348637,1253,0.8860444444444444,0.6434162756838857
R,123,Positive,0.9179038600433352,0.9334856769770669,0.9256291980254107,12253,0.8860444444444444,0.6434162756838857
R,2026,Negative,0.8504795557799092,0.9366244162775184,0.8914757394571141,8994,0.8856,0.6399150058710656
R,2026,Neutral,0.6339285714285714,0.05666400638467677,0.10402930402930403,1253,0.8856,0.6399150058710656
R,2026,Positive,0.9157253865256749,0.9329143883130662,0.9242399741267788,12253,0.8856,0.6399150058710656
V,42,Negative,0.8064989517819706,0.8819348922512609,0.8425317564607971,4362,0.9050666666666667,0.8904176895536468
V,42,Neutral,0.917195325542571,0.8705434954840754,0.8932607105113406,6311,0.9050666666666667,0.8904176895536468
V,42,Positive,0.9389267461669506,0.9320199543417603,0.9354606016888022,11827,0.9050666666666667,0.8904176895536468
V,123,Negative,0.8123658222413053,0.8674919761577258,0.8390243902439024,4362,0.9047555555555555,0.8896694418627993
V,123,Neutral,0.9156446801458402,0.8754555537949612,0.8950992304576751,6311,0.9047555555555555,0.8896694418627993
V,123,Positive,0.9356368563685636,0.934133761731631,0.9348847048868204,11827,0.9047555555555555,0.8896694418627993
V,2026,Negative,0.8131657435023434,0.8750573131591013,0.8429770318021201,4362,0.9058222222222222,0.8909789063868128
V,2026,Neutral,0.9172781854569713,0.8714942164474727,0.8938002762655399,6311,0.9058222222222222,0.8909789063868128
V,2026,Positive,0.9368331922099915,0.9354865984611482,0.9361594110927782,11827,0.9058222222222222,0.8909789063868128
